Armazens,TempoUser
10,0m0.005s
20,0m0.012s
30,0m0.028s
40,0m0.066s
50,0m0.069s
60,0m0.126s
70,0m0.190s
80,0m0.283s
90,0m0.224s
100,0m0.329s
110,0m0.495s
120,0m0.620s
130,0m0.714s
140,0m0.686s
150,0m0.714s
160,0m0.987s
170,0m1.085s
180,0m1.190s
190,0m1.358s
200,0m2.111s
210,0m2.568s
220,0m2.481s
230,0m3.553s
240,0m2.731s
250,0m4.056s
260,0m3.745s
270,0m4.043s
280,0m3.792s
290,0m4.899s
300,0m5.183s
310,0m5.784s
320,0m5.607s
330,0m6.255s
340,0m8.210s
350,0m8.341s
360,0m7.388s
370,0m9.264s
380,0m10.107s
390,0m10.008s
400,0m11.001s
410,0m10.802s
420,0m15.983s
430,0m16.762s
440,0m15.542s
450,0m16.605s
460,0m20.527s
470,0m16.243s
480,0m17.329s
490,0m19.614s
500,0m22.746s
